epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,16387.8,0.52807,0.39811,1.01525,0.92025,0.90312,0.93791,0.82371,0.55452,0.33421,0.97666,0.00208,0.00208,0.00208
82,16590.6,0.52596,0.3996,1.01201,0.92181,0.902,0.93777,0.82419,0.55304,0.3329,0.97585,0.001981,0.001981,0.001981
83,16793.5,0.52444,0.39326,1.01281,0.92226,0.90261,0.93791,0.82505,0.55213,0.3327,0.97554,0.001882,0.001882,0.001882
84,16996.1,0.51948,0.39025,1.00944,0.922,0.90316,0.93824,0.82505,0.55114,0.33209,0.97495,0.001783,0.001783,0.001783
85,17199.1,0.51612,0.38543,1.00833,0.92662,0.90276,0.93881,0.82577,0.55018,0.33111,0.97461,0.001684,0.001684,0.001684
86,17402,0.5138,0.38388,1.00686,0.92375,0.90431,0.93892,0.82653,0.54958,0.33058,0.9743,0.001585,0.001585,0.001585
87,17604.7,0.50625,0.37654,1.00295,0.93228,0.89957,0.93954,0.8273,0.5485,0.32963,0.97371,0.001486,0.001486,0.001486
88,17807.9,0.5049,0.37593,1.00045,0.93152,0.89843,0.9394,0.82793,0.54771,0.32895,0.97325,0.001387,0.001387,0.001387
89,18010.6,0.50169,0.37176,0.9994,0.93263,0.89898,0.93968,0.82855,0.54704,0.32815,0.97296,0.001288,0.001288,0.001288
90,18213.9,0.49403,0.36326,0.99589,0.9276,0.90376,0.93946,0.82943,0.54627,0.32742,0.97248,0.001189,0.001189,0.001189
91,18420.8,0.46613,0.24737,0.96105,0.92876,0.90316,0.93983,0.82941,0.5454,0.32718,0.97183,0.00109,0.00109,0.00109
92,18624,0.45396,0.23743,0.95427,0.92945,0.90135,0.93903,0.82997,0.54405,0.32647,0.97107,0.000991,0.000991,0.000991
93,18827,0.45027,0.23218,0.95118,0.93336,0.90195,0.94026,0.83015,0.5429,0.32553,0.97027,0.000892,0.000892,0.000892
94,19030.2,0.44219,0.22722,0.94658,0.92856,0.90399,0.94008,0.83072,0.54135,0.32449,0.96928,0.000793,0.000793,0.000793
95,19233.4,0.43324,0.22195,0.94229,0.92928,0.9033,0.93966,0.83037,0.53976,0.324,0.96822,0.000694,0.000694,0.000694
96,19435.9,0.42566,0.21821,0.9357,0.93131,0.90406,0.93985,0.83161,0.53863,0.32345,0.96753,0.000595,0.000595,0.000595
97,19638.9,0.42177,0.21423,0.93308,0.93637,0.90123,0.93999,0.83218,0.53746,0.32233,0.96703,0.000496,0.000496,0.000496
98,19842,0.4157,0.21032,0.93132,0.93464,0.90194,0.93908,0.83229,0.5361,0.32218,0.96616,0.000397,0.000397,0.000397
99,20044.9,0.41017,0.20588,0.92685,0.93336,0.90175,0.93915,0.83287,0.53476,0.32147,0.96544,0.000298,0.000298,0.000298
100,20247.4,0.40521,0.20352,0.92309,0.93218,0.90212,0.93913,0.83376,0.53349,0.32086,0.96463,0.000199,0.000199,0.000199
